"","address","lat","lng","carpark_type","rate_half_hr","capacity","rate","extracted_address","NearbyTraffic_1984","NearbyTraffic_1985","NearbyTraffic_1986","NearbyTraffic_1987","NearbyTraffic_1988","NearbyTraffic_1989","NearbyTraffic_1990","NearbyTraffic_1991","NearbyTraffic_1992","NearbyTraffic_1993","NearbyTraffic_1994","NearbyTraffic_1995","NearbyTraffic_1996","NearbyTraffic_1997","NearbyTraffic_1998","NearbyTraffic_1999","NearbyTraffic_2000","NearbyTraffic_2001","NearbyTraffic_2002","NearbyTraffic_2003","NearbyTraffic_2004","NearbyTraffic_2005","NearbyTraffic_2006","NearbyTraffic_2007","NearbyTraffic_2008","NearbyTraffic_2009","NearbyTraffic_2010","NearbyTraffic_2011","NearbyTraffic_2012","NearbyTraffic_2013","NearbyTraffic_2014","NearbyTraffic_2015","NearbyTraffic_2016","NearbyTraffic_2017","NearbyTraffic_2018","NearbyTraffic_2019","NearbyTraffic_2020","NearbyTraffic_2021","NearbyTraffic_2022","NearbyTraffic_2023"
"1","13 Isabella Street",43.667577,-79.384707,"Surface",3,33,"3.00","13 Isabella Street",9961.25,10947.875,11689.125,11011.5,10632.625,10483.125,10474.25,10662.75,7732.5,10913.25,13486.5,11819.875,9343.125,9398.75,9438,8417.5,8021.25,6907.75,8360.25,7103.125,6732.375,8889.875,5746.625,3630,8055.875,7849.75,7652.375,7356.75,7144,7768.875,6264.625,5935.25,5839.6875,5751,5302.6875,5832.125,5636.6875,4821.86805555556,4848.61634615385,4497.0625
"2","15 Wellesley Street East",43.664837,-79.383591,"Surface",3,135,"3.00","15 Wellesley Street East",9325.875,10849.5,13306,11011.5,10632.625,10706.625,9842.5,10697.75,8269.25,9343,12758,9245.125,7907.875,8911.375,8644,7726.875,7651.4375,7814.875,7842.375,6357.4375,8819.5,8481,6069.375,5003,8344.375,7194,7063.75,8033.125,7401.5,8380.25,5183.5,6551.4375,5212.0625,5216.4375,6103.6875,6172.3125,5459.375,5687.60416666667,5281.4625,5389.1875
"3","30 Alvin Avenue",43.6891905646955,-79.3926998352553,"Surface",3.5,188,"3.50","30 Alvin Avenue",11219.25,12414,12859.125,12821.375,11770,13823.75,13457.875,11745.75,10435.5,10943.5,11984.625,10250.125,10983.875,10986.5,11860.75,10522,10613,10657.5,11350.75,5260.375,7692.125,5880.875,7637.125,9243.125,8935.5,4422.0625,8848,4745.5,8668.75,5289.625,9932.625,8426,9577.4375,8471.375,7764.1875,3437.1875,3317.84375,5865.68055555556,4521.1443452381,5185.9375
"4","716 Pape Avenue",43.679713,-79.345375,"Surface",1.75,70,"1.75","716 Pape Avenue",6514.5,7325,6496.125,8148.5,9058.375,9548,6986.75,7422.125,7039,5992.875,7895.875,5861.5,7579.625,8471.375,7013.5,2828.25,6819.25,2648.75,6858.1875,5278.5625,3418.75,4572.875,3334.125,1528.25,4190.375,5137,4277.375,4458.375,4370.8125,4104.25,4806.3125,5863.91666666667,2204.75,5503.66666666667,2806.875,3103.375,3176.57291666667,3101.875,4912.33333333333,3473.625
"5","351 Keele Street",43.664581,-79.463993,"Surface",1.5,77,"1.50","351 Keele Street",7924.625,8036.875,8057.3125,8936.625,7166.375,7816.625,9086.375,11433.375,9245.5,6250.9375,7601.25,6393.875,7593.25,8065.375,7132.125,6810.5,7028,7035.8125,4981.0625,4884.5,7861.75,6217.125,6343.5625,5770.875,7599.375,6860.25,5328.375,6832.625,6139.75,3784.375,3581.875,6590.3125,4406.8125,4215.5,6080.375,4948.9375,4362.84791666667,6597.79583333333,6077.05729166667,4738.5625
"6","385 Pacific Avenue",43.664736,-79.468124,"Surface",1.5,71,"1.50","385 Pacific Avenue",7847.375,8277.75,8057.3125,8960.75,7259,7816.625,9291.5,10490.375,9245.5,5919.8125,7286.875,6899.125,7593.25,7928,6411.875,6840.75,6295,7137.1875,4050.75,4217.375,7245.125,5610.25,5362.6875,5364.875,7331.625,5201.91666666667,5035,6832.625,7009.0625,4343.375,4861.375,7169.875,5078.4375,4536,6346.375,4328.125,4362.84791666667,6610.4,5776.63541666667,4345.625
"7","101 Cedarvale Avenue",43.686541,-79.310957,"Surface",1.5,37,"1.50","101 Cedarvale Avenue",6741.6875,7432.3125,7289,7479.875,9681.375,7999.3125,9590.875,9523.875,9759.375,7892.875,8243.375,9696.1875,9092.625,10044.25,7836.0625,7940,4719.75,4479.25,4800.5,5683.625,4732.375,2227,1609.75,4149,5277.75,5919.25,3626.75,4360.25,4634.125,6715.625,8018,7138.25,1744.625,3618.25,4278.375,6273.85416666667,4426.20833333333,4807.83333333333,5320.6875,4042.25
"8","72 Amroth Avenue",43.685377,-79.311708,"Surface",1.5,54,"1.50","72 Amroth Avenue",6959.0625,6679.9375,7289,6737.125,9681.375,9121.4375,9590.875,9523.875,9594,7892.875,8315.5,8818,9341.875,9200.25,7836.0625,7294.125,4738.125,4824.75,5040.375,6502.125,4732.375,3090,1512.125,3985.5,5365.25,5607.25,4075.875,4360.25,4634.125,6715.625,8018,7138.25,2671.875,4122.375,4278.375,6273.85416666667,4200.86458333333,4603.375,5320.6875,4042.25
"9","670 Pape Avenue",43.678146,-79.344774,"Surface",1.5,76,"1.50","670 Pape Avenue",6241.75,6724.125,6244.875,8148.5,9058.375,8356.75,7747.25,8193.75,7903.875,6409.25,7895.875,5861.5,7856.375,8471.375,6698.25,3294.625,6594.125,2648.75,6455.6875,4978.375,3418.75,4685.375,2740.75,1613.375,4190.375,4998.625,4277.375,3805.875,4370.8125,3735.375,4806.3125,5327.91666666667,2204.75,4900.875,3005.875,3103.375,3176.57291666667,3101.875,4373.58333333333,3703.125
"10","20 Castlefield Avenue",43.711828,-79.400082,"Surface",3,163,"3.00","20 Castlefield Avenue",10647.0625,11038,11216.875,10013.625,11617.75,10855.625,11239.375,10080,11219,9658.25,10786.875,10411.875,8891.25,10253.125,11583.125,10374.125,9273.625,7223.625,10458.125,4878.625,6867,7195.875,8377.875,8650.375,7227.125,10357,8655.4375,7687.25,7562.875,7134.5,9000.25,5886.5,7456.125,2575.125,4072.5,4451.25,5304.5,4334.875,4241.625,4030.375
