"","TS_Input.address","TS_Input.lat","TS_Input.lng","TS_Input.NearbyTraffic_2022","TS_Output_2024","EV_nearbyTraffic_2022","EV_nearbyTraffic_2024"
"1","13 Isabella Street",43.667577,-79.384707,4848.61634615385,4497,145,240
"2","15 Wellesley Street East",43.664837,-79.383591,5281.4625,5540,158,295
"3","30 Alvin Avenue",43.6891905646955,-79.3926998352553,4521.1443452381,4811,136,256
"4","716 Pape Avenue",43.679713,-79.345375,4912.33333333333,3750,147,200
"5","351 Keele Street",43.664581,-79.463993,6077.05729166667,4739,182,253
"6","385 Pacific Avenue",43.664736,-79.468124,5776.63541666667,5188,173,277
"7","101 Cedarvale Avenue",43.686541,-79.310957,5320.6875,4042,160,215
"8","72 Amroth Avenue",43.685377,-79.311708,5320.6875,4042,160,215
"9","670 Pape Avenue",43.678146,-79.344774,4373.58333333333,3690,131,197
"10","20 Castlefield Avenue",43.711828,-79.400082,4241.625,3990,127,213
"11","7 Norton Avenue",43.678365,-79.443882,5940.7,3517,178,187
"12","14 Fuller Avenue",43.640788,-79.439542,1852,2513,56,134
"13","111 Broadview Avenue",43.659179,-79.349774,3491.80208333333,3715,105,198
"14","125 Burnaby Blvd",43.704445,-79.412076,6285.27083333333,4189,189,223
"15","85 Lee Avenue",43.6704624,-79.2979613,5004.38541666667,5229,150,279
"16","365 Lippincott Street",43.665054,-79.409662,5859.5625,2253,176,120
"17","803 Richmond Street West",43.644546,-79.410778,3327.5625,2453,100,131
"18","23 Bedford Park Avenue",43.72677,-79.40433,6275.375,6024,188,321
"19","265 Durie Street",43.650881,-79.479014,4740.875,3961,142,211
"20","35 Bellevue Avenue",43.654184,-79.403176,5474.17708333333,3584,164,191
"21","35 Erindale Avenue",43.677316,-79.357467,4059.82291666667,3902,122,208
"22","405 Sherbourne Street",43.66452,-79.373502,5932.375,4901,178,261
"23","400 Keele Street",43.66611,-79.465045,6272.13541666667,5287,188,282
"24","695 Lansdowne Avenue",43.658969,-79.442739,4055.78125,4648,122,248
"25","9 Emerson Ave.",43.659412,-79.440143,4801.75,4857,144,259
"26","9 Salem Avenue",43.661011,-79.431667,2977.71875,4001,89,213
"27","557 Palmerston Avenue",43.665039,-79.413579,5885.875,3868,177,206
"28","14 Arundel Avenue",43.678456,-79.351223,3216.83333333333,4084,97,218
"29","25 Ferrier Avenue",43.679007,-79.348379,3066.33333333333,3613,92,193
"30","20 Eaton Avenue",43.679954,-79.343948,4686.33333333333,3069,141,164
"31","17 Eaton Avenue",43.680078,-79.343197,4686.33333333333,3075,141,164
"32","265 Armadale Avenue",43.650283,-79.483039,5336,4427,160,236
"33","675 Manning Avenue",43.664651,-79.416014,5548.9375,3772,166,201
"34","745 Ossington Avenue, 16 Carling Avenue",43.662431,-79.425648,2631.4375,3868,79,206
"35","15 Denison Avenue",43.648412,-79.400307,2897.75,3493,87,186
"36","251 MacPherson Avenue",43.677378,-79.40035,7562.578125,8120,227,433
"37","51 Aberdeen Avenue",43.664703,-79.36905,2607.75,3978,78,212
"38","1612 Danforth Avenue",43.683577,-79.322995,4614.58333333333,4282,138,228
