"","Category","Operating.Name","city","Zip","Street","Address","lat","long","lamda","mu","qCustomer","tCustomer"
"1","RETAIL STORE (FOOD)","TIERRA AZTECA INC","TORONTO, ON","M6H 1M7","BLOOR ST W","1115 BLOOR ST W,TORONTO, ON,M6H 1M7",43.65974935,-79.4346428,25,1,25,1.43889901391026
"2","RETAIL STORE (FOOD)","NASSAU VARIETY","TORONTO, ON","M5T 1M7","NASSAU ST","90 NASSAU ST,TORONTO, ON,M5T 1M7",43.6550488,-79.4038508,25,1,27,0.312430240679532
"3","RETAIL STORE (FOOD)","RABBA FINE FOODS","TORONTO, ON","M4Y 1M7","ISABELLA ST","9 ISABELLA ST,TORONTO, ON,M4Y 1M7",43.6675189,-79.3850163,25,1,18,0.251730294898152
"4","RETAIL STORE (FOOD)","THE NUTRITION BAR","TORONTO, ON","M4Y 1M7","ISABELLA ST","5 ISABELLA ST,TORONTO, ON,M4Y 1M7",43.6675344,-79.3853342,25,1,29,1.04106721117923
"5","RETAIL STORE (FOOD)","MASTERMIND TOYS","TORONTO, ON","M4N 2M7","YONGE ST","3350 YONGE ST,TORONTO, ON,M4N 2M7",43.7319722,-79.4042331,25,1,26,1.9984396304095
"6","RETAIL STORE (FOOD)","INS MARKET","TORONTO, ON","M5H 3M7","UNIVERSITY AVE","181 UNIVERSITY AVE,TORONTO, ON,M5H 3M7",43.6492481,-79.3852114,25,1,22,3.25334832055454
"7","RETAIL STORE (FOOD)","TRIO COCO","TORONTO, ON","M4N 2M7","YONGE ST","3360 YONGE ST,TORONTO, ON,M4N 2M7",43.7323133,-79.4042873,25,1,27,0.800270886118424
"8","RETAIL STORE (FOOD)","SHOPPERS DRUG MART #1240","TORONTO, ON","M4N 2M7","YONGE ST","3366 YONGE ST,TORONTO, ON,M4N 2M7",43.732228,-79.404397,25,1,25,1.25364806871386
"9","PERSONAL SERVICES SETTINGS","P&H SALON AND SPA","TORONTO, ON","M5H 3M7","UNIVERSITY AVE","181 UNIVERSITY AVE,TORONTO, ON,M5H 3M7",43.6492481,-79.3852114,15,0.5,8,1.52674440844896
"10","PERSONAL SERVICES SETTINGS","BLO BLOW DRY BAR","TORONTO, ON","M5V 1M7","KING ST W","626 KING ST W,TORONTO, ON,M5V 1M7",43.64433268,-79.40109387,15,0.5,16,1.31934974063188
"11","PERSONAL SERVICES SETTINGS","DA-OL HAIR STUDIO","TORONTO, ON","M4V 1M7","ST CLAIR AVE W","76 ST CLAIR AVE W,TORONTO, ON,M4V 1M7",43.6874713,-79.3978101,15,0.5,14,2.00312777833944
"12","LAUNDRY","PLATIS CUSTOM CLEANERS","TORONTO, ON","M5H 3M7","UNIVERSITY AVE","181 UNIVERSITY AVE,TORONTO, ON,M5H 3M7",43.6492481,-79.3852114,5,0.25,2,4.52689325420146
"13","EATING ESTABLISHMENT","McDONALD'S","TORONTO, ON","M4N 2M7","YONGE ST","3400 YONGE ST,TORONTO, ON,M4N 2M7",43.7326615,-79.40451007,45,0.5,44,0.0109668495133519
"14","EATING ESTABLISHMENT","MAY'S DELI","TORONTO, ON","M5H 3M7","UNIVERSITY AVE","181 UNIVERSITY AVE,TORONTO, ON,M5H 3M7",43.6492481,-79.3852114,45,0.5,41,1.10243407536899
"15","EATING ESTABLISHMENT","AZTECA RESTAURANT","TORONTO, ON","M6H 1M7","BLOOR ST W","1115 BLOOR ST W,TORONTO, ON,M6H 1M7",43.65974935,-79.4346428,45,0.5,32,2.92376866547351
"16","EATING ESTABLISHMENT","POPEYES CHICKEN AND BISCUITS","TORONTO, ON","M6H 1M7","BLOOR ST W","1115 BLOOR ST W,TORONTO, ON,M6H 1M7",43.65974935,-79.4346428,45,0.5,46,0.264651616103947
"17","EATING ESTABLISHMENT","A & W RESTAURANT","TORONTO, ON","M6H 1M7","BLOOR ST W","1115 BLOOR ST W,TORONTO, ON,M6H 1M7",43.65974935,-79.4346428,45,0.5,51,1.13705315869576
