"","id","address","lat","lng","carpark_type","rate_half_hr","capacity","rate","extracted_address"
"1","3","13 Isabella Street",43.667577,-79.384707,"Surface",3,33,"3.00","13 Isabella Street"
"2","5","15 Wellesley Street East",43.664837,-79.383591,"Surface",3,135,"3.00","15 Wellesley Street East"
"3","12","30 Alvin Avenue",43.6891905646955,-79.3926998352553,"Surface",3.5,188,"3.50","30 Alvin Avenue"
"4","17","716 Pape Avenue",43.679713,-79.345375,"Surface",1.75,70,"1.75","716 Pape Avenue"
"5","18","351 Keele Street",43.664581,-79.463993,"Surface",1.5,77,"1.50","351 Keele Street"
"6","19","385 Pacific Avenue",43.664736,-79.468124,"Surface",1.5,71,"1.50","385 Pacific Avenue"
"7","20","101 Cedarvale Avenue",43.686541,-79.310957,"Surface",1.5,37,"1.50","101 Cedarvale Avenue"
"8","21","72 Amroth Avenue",43.685377,-79.311708,"Surface",1.5,54,"1.50","72 Amroth Avenue"
"9","28","670 Pape Avenue",43.678146,-79.344774,"Surface",1.5,76,"1.50","670 Pape Avenue"
"10","39","20 Castlefield Avenue",43.711828,-79.400082,"Surface",3,163,"3.00","20 Castlefield Avenue"
"11","41","7 Norton Avenue",43.678365,-79.443882,"Surface",1.75,64,"1.75","7 Norton Avenue"
"12","44","14 Fuller Avenue",43.640788,-79.439542,"Surface",1.5,53,"1.50","14 Fuller Avenue"
"13","45","111 Broadview Avenue",43.659179,-79.349774,"Surface",1,92,"1.00","111 Broadview Avenue"
"14","47","125 Burnaby Blvd",43.704445,-79.412076,"Surface",1.5,154,"1.50","125 Burnaby Blvd"
"15","48","85 Lee Avenue",43.6704624,-79.2979613,"Surface",1.5,68,"1.50","85 Lee Avenue"
"16","51","365 Lippincott Street",43.665054,-79.409662,"Surface",2,144,"2.00","365 Lippincott Street"
"17","53","803 Richmond Street West",43.644546,-79.410778,"Surface",2,49,"2.00","803 Richmond Street West"
"18","55","23 Bedford Park Avenue",43.72677,-79.40433,"Surface",1,42,"1.00","23 Bedford Park Avenue"
"19","64","265 Durie Street",43.650881,-79.479014,"Surface",1.5,155,"1.50","265 Durie Street"
"20","71","35 Bellevue Avenue",43.654184,-79.403176,"Surface",2.5,91,"2.50","35 Bellevue Avenue"
"21","78","35 Erindale Avenue",43.677316,-79.357467,"Surface",2,93,"2.00","35 Erindale Avenue"
"22","79","405 Sherbourne Street",43.66452,-79.373502,"Surface",1.75,110,"1.75","405 Sherbourne Street"
"23","80","400 Keele Street",43.66611,-79.465045,"Surface",1.25,35,"1.25","400 Keele Street"
"24","81","695 Lansdowne Avenue",43.658969,-79.442739,"Surface",1.5,40,"1.50","695 Lansdowne Avenue"
"25","82","9 Emerson Ave.",43.659412,-79.440143,"Surface",1.25,56,"1.25","9 Emerson Ave."
"26","84","9 Salem Avenue",43.661011,-79.431667,"Surface",1.25,35,"1.25","9 Salem Avenue"
"27","85","557 Palmerston Avenue",43.665039,-79.413579,"Surface",2,55,"2.00","557 Palmerston Avenue"
"28","87","14 Arundel Avenue",43.678456,-79.351223,"Surface",1.5,83,"1.50","14 Arundel Avenue"
"29","88","25 Ferrier Avenue",43.679007,-79.348379,"Surface",1.5,47,"1.50","25 Ferrier Avenue"
"30","89","20 Eaton Avenue",43.679954,-79.343948,"Surface",1.5,70,"1.50","20 Eaton Avenue"
"31","90","17 Eaton Avenue",43.680078,-79.343197,"Surface",1.5,30,"1.50","17 Eaton Avenue"
"32","91","265 Armadale Avenue",43.650283,-79.483039,"Surface",1.5,148,"1.50","265 Armadale Avenue"
"33","93","675 Manning Avenue",43.664651,-79.416014,"Surface",2,49,"2.00","675 Manning Avenue"
"34","104","745 Ossington Avenue, 16 Carling Avenue",43.662431,-79.425648,"Surface",2,45,"2.00","745 Ossington Avenue"
"35","106","15 Denison Avenue",43.648412,-79.400307,"Surface",2,120,"2.00","15 Denison Avenue"
"36","107","251 MacPherson Avenue",43.677378,-79.40035,"Surface",1,40,"1.00","251 MacPherson Avenue"
"37","109","51 Aberdeen Avenue",43.664703,-79.36905,"Surface",2,35,"2.00","51 Aberdeen Avenue"
"38","110","1612 Danforth Avenue",43.683577,-79.322995,"Surface",1.5,25,"1.50","1612 Danforth Avenue"
"39","116","255 Kennedy Avenue",43.65168,-79.475119,"Surface",1.5,56,"1.50","255 Kennedy Avenue"
"40","130","7 Bartlett Avenue",43.660899,-79.433013,"Surface",1,37,"1.00","7 Bartlett Avenue"
"41","131","912 Eglinton Avenue West",43.700543,-79.428073,"Surface",1.25,26,"1.25","912 Eglinton Avenue West"
"42","133","20 Prescott Avenue ",43.675143,-79.457513,"Surface",1,7,"1.00","20 Prescott Avenue "
"43","137","77 Gough Avenue",43.679481,-79.346287,"Surface",1.5,17,"1.50","77 Gough Avenue"
"44","139","6 Sherwood Avenue",43.713751,-79.399213,"Surface",2,46,"2.00","6 Sherwood Avenue"
"45","141","141 Greenlaw Avenue",43.676198,-79.447739,"Surface",1,53,"1.00","141 Greenlaw Avenue"
"46","142","31 Langford Avenue",43.680613,-79.340751,"Surface",1.5,27,"1.50","31 Langford Avenue"
"47","143","265 Willard Avenue",43.650431,-79.481771,"Surface",1.5,88,"1.50","265 Willard Avenue"
"48","144","376 Clinton Street",43.664441,-79.41758,"Surface",1.5,33,"1.50","376 Clinton Street"
"49","146","573 Gerrard Street East",43.665202,-79.353164,"Surface",1,37,"1.00","573 Gerrard Street East"
"50","149","12 Woodycrest Avenue",43.68035,-79.342339,"Surface",1.5,35,"1.50","12 Woodycrest Avenue"
"51","152","25 Glenforest Road",43.730266,-79.402734,"Surface",1.5,26,"1.50","25 Glenforest Road"
"52","155","995 Eglinton Avenue West",43.699612,-79.431131,"Surface",1.25,33,"1.25","995 Eglinton Avenue West"
"53","156","18 Ferrier Avenue",43.678945,-79.348798,"Surface",1.5,23,"1.50","18 Ferrier Avenue"
"54","158","1325 Queen Street West",43.64095,-79.433856,"Surface",1.5,32,"1.50","1325 Queen Street West"
"55","164","453 Spadina Road",43.689543,-79.412946,"Surface",1.5,55,"1.50","453 Spadina Road"
"56","167","18 Ossington Avenue",43.644655,-79.419286,"Surface",1.5,20,"1.50","18 Ossington Avenue"
"57","168","146 Harrison Street",43.650423,-79.424404,"Surface",1.5,79,"1.50","146 Harrison Street"
"58","170","117 Hammersmith Avenue",43.671707,-79.294358,"Surface",1.5,30,"1.50","117 Hammersmith Avenue"
"59","173","737 Rhodes Avenue",43.682926,-79.324476,"Surface",1.5,24,"1.50","737 Rhodes Avenue"
"60","174","151 Hiawatha Road",43.672598,-79.322941,"Surface",1,50,"1.00","151 Hiawatha Road"
"61","179","653 Gerrard Street East",43.665784,-79.350195,"Surface",1,30,"1.00","653 Gerrard Street East"
"62","180","268 Rhodes Ave",43.672047,-79.320366,"Surface",1,38,"1.00","268 Rhodes Ave"
"63","181","1155 King Street West",43.637863,-79.424011,"Surface",2,269,"2.00","1155 King Street West"
