"","id","address","lat","lng","capacity","Convert"
"1","3","13 Isabella Street",43.667577,-79.384707,33,0
"2","5","15 Wellesley Street East",43.664837,-79.383591,135,0
"3","12","30 Alvin Avenue",43.6891905646955,-79.3926998352553,188,0
"4","17","716 Pape Avenue",43.679713,-79.345375,70,0
"5","18","351 Keele Street",43.664581,-79.463993,77,0
"6","19","385 Pacific Avenue",43.664736,-79.468124,71,0
"7","20","101 Cedarvale Avenue",43.686541,-79.310957,37,0
"8","21","72 Amroth Avenue",43.685377,-79.311708,54,0
"9","28","670 Pape Avenue",43.678146,-79.344774,76,0
"10","39","20 Castlefield Avenue",43.711828,-79.400082,163,0
"11","41","7 Norton Avenue",43.678365,-79.443882,64,0
"12","44","14 Fuller Avenue",43.640788,-79.439542,53,0
"13","45","111 Broadview Avenue",43.659179,-79.349774,92,0
"14","47","125 Burnaby Blvd",43.704445,-79.412076,154,0
"15","48","85 Lee Avenue",43.6704624,-79.2979613,68,0
"16","51","365 Lippincott Street",43.665054,-79.409662,144,1
"17","53","803 Richmond Street West",43.644546,-79.410778,49,0
"18","55","23 Bedford Park Avenue",43.72677,-79.40433,42,0
"19","64","265 Durie Street",43.650881,-79.479014,155,0
"20","71","35 Bellevue Avenue",43.654184,-79.403176,91,0
"21","78","35 Erindale Avenue",43.677316,-79.357467,93,1
"22","79","405 Sherbourne Street",43.66452,-79.373502,110,0
"23","80","400 Keele Street",43.66611,-79.465045,35,0
"24","81","695 Lansdowne Avenue",43.658969,-79.442739,40,0
"25","82","9 Emerson Ave.",43.659412,-79.440143,56,0
"26","84","9 Salem Avenue",43.661011,-79.431667,35,0
"27","85","557 Palmerston Avenue",43.665039,-79.413579,55,0
"28","87","14 Arundel Avenue",43.678456,-79.351223,83,1
"29","88","25 Ferrier Avenue",43.679007,-79.348379,47,0
"30","89","20 Eaton Avenue",43.679954,-79.343948,70,0
"31","90","17 Eaton Avenue",43.680078,-79.343197,30,0
"32","91","265 Armadale Avenue",43.650283,-79.483039,148,1
"33","93","675 Manning Avenue",43.664651,-79.416014,49,0
"34","104","745 Ossington Avenue, 16 Carling Avenue",43.662431,-79.425648,45,0
"35","106","15 Denison Avenue",43.648412,-79.400307,120,0
"36","107","251 MacPherson Avenue",43.677378,-79.40035,40,0
"37","109","51 Aberdeen Avenue",43.664703,-79.36905,35,0
"38","110","1612 Danforth Avenue",43.683577,-79.322995,25,1
"39","116","255 Kennedy Avenue",43.65168,-79.475119,56,0
"40","130","7 Bartlett Avenue",43.660899,-79.433013,37,0
"41","131","912 Eglinton Avenue West",43.700543,-79.428073,26,0
"42","133","20 Prescott Avenue ",43.675143,-79.457513,7,0
"43","137","77 Gough Avenue",43.679481,-79.346287,17,0
"44","139","6 Sherwood Avenue",43.713751,-79.399213,46,0
"45","141","141 Greenlaw Avenue",43.676198,-79.447739,53,0
"46","142","31 Langford Avenue",43.680613,-79.340751,27,0
"47","143","265 Willard Avenue",43.650431,-79.481771,88,0
"48","144","376 Clinton Street",43.664441,-79.41758,33,0
"49","146","573 Gerrard Street East",43.665202,-79.353164,37,0
"50","149","12 Woodycrest Avenue",43.68035,-79.342339,35,0
"51","152","25 Glenforest Road",43.730266,-79.402734,26,0
"52","155","995 Eglinton Avenue West",43.699612,-79.431131,33,0
"53","156","18 Ferrier Avenue",43.678945,-79.348798,23,0
"54","158","1325 Queen Street West",43.64095,-79.433856,32,0
"55","164","453 Spadina Road",43.689543,-79.412946,55,0
"56","167","18 Ossington Avenue",43.644655,-79.419286,20,0
"57","168","146 Harrison Street",43.650423,-79.424404,79,0
"58","170","117 Hammersmith Avenue",43.671707,-79.294358,30,1
"59","173","737 Rhodes Avenue",43.682926,-79.324476,24,0
"60","174","151 Hiawatha Road",43.672598,-79.322941,50,0
"61","179","653 Gerrard Street East",43.665784,-79.350195,30,0
"62","180","268 Rhodes Ave",43.672047,-79.320366,38,0
"63","181","1155 King Street West",43.637863,-79.424011,269,0
"64","183","166 Woodbine Ave",43.668252,-79.306226,21,1
"65","184","192 Boardwalk Dr",43.668004,-79.307384,24,0
"66","185","116 Joseph Duggan Rd",43.667724,-79.308522,24,0
"67","186","118 Sarah Ashbridge Ave",43.667445,-79.309487,24,0
"68","187","116 Winners Circle",43.667107,-79.31074,10,0
"69","188","157 Beatrice Street",43.654669,-79.416411,18,0
"70","193","1675 Lakeshore Blvd. E. (Parks)",43.662417,-79.311188,292,0
"71","194","20 Ashbridges Bay Park Road (Parks)",43.660056,-79.311365,270,0
"72","195","15 Price St",43.679814,-79.390007,71,0
"73","200","1167 Eastern Avenue",43.665986,-79.313049,66,0
"74","202","1141 Eastern Avenue",43.66566,-79.314079,18,0
"75","204","1117 Dundas Street West",43.649267,-79.420135,37,0
"76","205","465 Huron Street",43.667778,-79.401648,15,0
"77","206","2001 Lake Shore Blvd. West (Parks)",43.634103,-79.469036,185,0
"78","207","2001 Lake Shore Blvd. West (Parks)",43.637123,-79.462266,187,0
"79","208","1575 Lake Shore Blvd. W. (Parks)",43.637473,-79.451301,193,0
"80","209","300 Remembrance Drive ",43.6330895,-79.4087431,65,0
