"","X","id","address","lat","lng","capacity","Convert","n_business","distance","n_customers","time_spent","traffic_volume"
"1",1,3,"13 Isabella Street",43.667577,-79.384707,33,0,20,0.00109258256272872,31.25,1.11088434378254,145
"2",2,5,"15 Wellesley Street East",43.664837,-79.383591,135,0,20,0.00104985304669853,26.65,1.55525017521823,158
"3",3,12,"30 Alvin Avenue",43.6891905646955,-79.3926998352553,188,0,20,0.0015092170291931,35.35,1.63900520593849,136
"4",4,17,"716 Pape Avenue",43.679713,-79.345375,70,0,20,0.00106977223206354,32.5,1.21627838492833,147
"5",5,18,"351 Keele Street",43.664581,-79.463993,77,0,20,0.00139848617270961,37.45,2.49035243235598,182
"6",6,19,"385 Pacific Avenue",43.664736,-79.468124,71,0,20,0.00150982614824429,28.95,1.5760065048108,173
"7",7,20,"101 Cedarvale Avenue",43.686541,-79.310957,37,0,20,0.000803329911991894,31,1.82425774301307,160
"8",8,21,"72 Amroth Avenue",43.685377,-79.311708,54,0,20,0.00106605559993355,29.9,1.63818217377345,160
"9",9,28,"670 Pape Avenue",43.678146,-79.344774,76,0,20,0.00128463948940353,32.25,1.06651511778835,131
"10",10,39,"20 Castlefield Avenue",43.711828,-79.400082,163,0,20,0.000810549216687404,24.85,1.69822483478064,127
"11",11,41,"7 Norton Avenue",43.678365,-79.443882,64,0,20,0.000688922560776028,36.4,1.80949829834843,178
"12",12,44,"14 Fuller Avenue",43.640788,-79.439542,53,0,20,0.00100589437796092,30.15,1.43450672492052,56
"13",13,45,"111 Broadview Avenue",43.659179,-79.349774,92,0,20,0.000996268921733971,30.95,2.91837520753977,105
"14",14,47,"125 Burnaby Blvd",43.704445,-79.412076,154,0,20,0.0016950315824684,17.15,1.87130695118042,189
"15",15,48,"85 Lee Avenue",43.6704624,-79.2979613,68,0,20,0.000800563806309458,24.35,1.67746018173082,150
"16",16,51,"365 Lippincott Street",43.665054,-79.409662,144,1,20,0.00064072187537076,32.1,1.85203182020031,176
"17",17,53,"803 Richmond Street West",43.644546,-79.410778,49,0,20,0.00136707727479608,29.15,1.62230165797717,100
"18",18,55,"23 Bedford Park Avenue",43.72677,-79.40433,42,0,20,0.00198625159127403,23.35,1.67051775104967,188
"19",19,64,"265 Durie Street",43.650881,-79.479014,155,0,20,0.00118789459949644,22.75,2.0625144425801,142
"20",20,71,"35 Bellevue Avenue",43.654184,-79.403176,91,0,20,0.00105305703118627,26.75,1.55681338795629,164
"21",21,78,"35 Erindale Avenue",43.677316,-79.357467,93,1,20,0.00101393175035288,28.2,1.72112404055757,122
"22",22,79,"405 Sherbourne Street",43.66452,-79.373502,110,0,20,0.00291037923600164,26.85,1.23942842138218,178
"23",23,80,"400 Keele Street",43.66611,-79.465045,35,0,20,0.000957633140831043,36.85,1.50360271870692,188
"24",24,81,"695 Lansdowne Avenue",43.658969,-79.442739,40,0,20,0.000764575331369578,31,2.24782711936197,122
"25",25,82,"9 Emerson Ave.",43.659412,-79.440143,56,0,20,0.00161298930442979,26.6,2.48013680812095,144
"26",26,84,"9 Salem Avenue",43.661011,-79.431667,35,0,20,0.000600774358892961,28.7,1.9069555842688,89
"27",27,85,"557 Palmerston Avenue",43.665039,-79.413579,55,0,20,0.000608343466584092,25.05,1.18451731954222,177
