"","address","distance","n_business","time_spent","n_customers","traffic_volume","convert","score"
"1","158 Borough Drive",0.746380676951434,8,0.934885106341898,0.714285714285714,0.798816568047337,0,1.64498275091663e-05
"2","Ellesmere Lot - Near 1050 Ellesmere Road - closed for construction until November 2019",0.531664556357043,8,1,0.689285714285714,1,0,1.6305761504252e-05
"3","284 Milner Avenue",0.995119517402575,8,0.997310891771964,0.778571428571429,0.5,0,1.59167111166315e-05
"4","1 Brimley Road (Bluffer's Park)",0.63683371441727,8,0.481409154205346,0.807142857142857,0.715976331360947,0,1.44017160124672e-05
"5","1530 Markham Road - minor capital repairs onsite",1,8,0.997310891771964,0.778571428571429,0.5,0,1.42556054754106e-05
"6","3239 Lake Shore Boulevard West",0.702126048082706,8,0.175411376903488,0.832142857142857,0.556213017751479,0,1.33959988914129e-05
"7","100 Grangeway Avenue",0.804808943160179,8,0.997310891771964,0.778571428571429,0.579881656804734,0,1.31597352657396e-05
"8","Kipling South Lot - 400 Munster Avenue",0.560334148596035,8,0.268454436845763,0.775,0.668639053254438,0,1.30833764098798e-05
"9","65 Colonel Samuel Smith Park Drive",0.696630219718217,8,0.175411376903488,0.832142857142857,0.529585798816568,0,1.30540240471953e-05
"10","101 Grangeway Avenue",0.820335606904011,8,0.997310891771964,0.778571428571429,0.526627218934911,0,1.28011804234693e-05
"11","WOOLGAR LANEWAY REAR OF 1124 THE QUEENSWAY",0.483625711814638,8,0.284304263603847,0.803571428571429,0.849112426035503,0,1.266599273015e-05
"12","Lawrence East Lot - Near 2450 Lawrence Ave East",0.520362580601084,8,0.445805406383309,0.685714285714286,0.772189349112426,0,1.2284073577651e-05
"13","Islington Main Lot - 3330 Bloor Street West",0.454528863249214,8,0.268454436845763,0.775,0.659763313609467,0,1.18625076270786e-05
"14","5 Colonel Samuel Smith Park Drive",0.690521938635487,8,0.175411376903488,0.832142857142857,0.556213017751479,0,1.18486411137706e-05
"15","20 Royalavon Crescent",0.519594628755443,8,0.255211274673751,0.757142857142857,0.677514792899408,0,1.13770130840057e-05
"16","7332 Jane St",0.234058018625581,8,0.322500327007278,0.85,0.810650887573965,0,1.11217395448346e-05
"17","1940 Lawrence Avenue East",0.247969117750765,8,0.860318965570803,0.471428571428571,0.79585798816568,0,1.11123520943965e-05
"18","14 Barkwin Dr.",0.503119240642558,8,0.133537668470741,0.807142857142857,0.520710059171598,0,1.08994598814385e-05
"19","22 Fieldway Rd",0.473215250813502,8,0.268454436845763,0.775,0.659763313609467,0,1.07675302843406e-05
