"","Category","Operating.Name","city","Zip","Street","Address","lat","long"
"1","RETAIL STORE (FOOD)","TIERRA AZTECA INC","TORONTO, ON","M6H 1M7","BLOOR ST W","1115 BLOOR ST W,TORONTO, ON,M6H 1M7",43.65974935,-79.4346428024648
"2","RETAIL STORE (FOOD)","NASSAU VARIETY","TORONTO, ON","M5T 1M7","NASSAU ST","90 NASSAU ST,TORONTO, ON,M5T 1M7",43.6550488,-79.4038508
"3","RETAIL STORE (FOOD)","RABBA FINE FOODS","TORONTO, ON","M4Y 1M7","ISABELLA ST","9 ISABELLA ST,TORONTO, ON,M4Y 1M7",43.6675189,-79.3850163
"4","RETAIL STORE (FOOD)","THE NUTRITION BAR","TORONTO, ON","M4Y 1M7","ISABELLA ST","5 ISABELLA ST,TORONTO, ON,M4Y 1M7",43.6675344,-79.3853342
"5","RETAIL STORE (FOOD)","MASTERMIND TOYS","TORONTO, ON","M4N 2M7","YONGE ST","3350 YONGE ST,TORONTO, ON,M4N 2M7",43.7319722,-79.4042331
"6","RETAIL STORE (FOOD)","INS MARKET","TORONTO, ON","M5H 3M7","UNIVERSITY AVE","181 UNIVERSITY AVE,TORONTO, ON,M5H 3M7",43.6492481,-79.3852114
"7","RETAIL STORE (FOOD)","TRIO COCO","TORONTO, ON","M4N 2M7","YONGE ST","3360 YONGE ST,TORONTO, ON,M4N 2M7",43.7323133,-79.4042873
"8","RETAIL STORE (FOOD)","SHOPPERS DRUG MART #1240","TORONTO, ON","M4N 2M7","YONGE ST","3366 YONGE ST,TORONTO, ON,M4N 2M7",43.732228,-79.404397
"9","PERSONAL SERVICES SETTINGS","P&H SALON AND SPA","TORONTO, ON","M5H 3M7","UNIVERSITY AVE","181 UNIVERSITY AVE,TORONTO, ON,M5H 3M7",43.6492481,-79.3852114
"10","PERSONAL SERVICES SETTINGS","BLO BLOW DRY BAR","TORONTO, ON","M5V 1M7","KING ST W","626 KING ST W,TORONTO, ON,M5V 1M7",43.6443326756303,-79.4010938701907
"11","PERSONAL SERVICES SETTINGS","DA-OL HAIR STUDIO","TORONTO, ON","M4V 1M7","ST CLAIR AVE W","76 ST CLAIR AVE W,TORONTO, ON,M4V 1M7",43.6874713,-79.3978101
"12","LAUNDRY","PLATIS CUSTOM CLEANERS","TORONTO, ON","M5H 3M7","UNIVERSITY AVE","181 UNIVERSITY AVE,TORONTO, ON,M5H 3M7",43.6492481,-79.3852114
"13","EATING ESTABLISHMENT","McDONALD'S","TORONTO, ON","M4N 2M7","YONGE ST","3400 YONGE ST,TORONTO, ON,M4N 2M7",43.7326615,-79.4045100654519
"14","EATING ESTABLISHMENT","MAY'S DELI","TORONTO, ON","M5H 3M7","UNIVERSITY AVE","181 UNIVERSITY AVE,TORONTO, ON,M5H 3M7",43.6492481,-79.3852114
"15","EATING ESTABLISHMENT","AZTECA RESTAURANT","TORONTO, ON","M6H 1M7","BLOOR ST W","1115 BLOOR ST W,TORONTO, ON,M6H 1M7",43.65974935,-79.4346428024648
"16","EATING ESTABLISHMENT","POPEYES CHICKEN AND BISCUITS","TORONTO, ON","M6H 1M7","BLOOR ST W","1115 BLOOR ST W,TORONTO, ON,M6H 1M7",43.65974935,-79.4346428024648
"17","EATING ESTABLISHMENT","A & W RESTAURANT","TORONTO, ON","M6H 1M7","BLOOR ST W","1115 BLOOR ST W,TORONTO, ON,M6H 1M7",43.65974935,-79.4346428024648
"18","EATING ESTABLISHMENT","THE PARLOUR RESTUARANT TORONTO","TORONTO, ON","M5V 1M7","KING ST W","642 KING ST W,TORONTO, ON,M5V 1M7",43.6444009,-79.4015624
"19","EATING ESTABLISHMENT","LAPINOU","TORONTO, ON","M5V 1M7","KING ST W","642 KING ST W,TORONTO, ON,M5V 1M7",43.6444009,-79.4015624
"20","EATING ESTABLISHMENT","CASSIUS ON KING","TORONTO, ON","M5V 1M7","KING ST W","624 KING ST W,TORONTO, ON,M5V 1M7",43.644344,-79.401035
"21","EATING ESTABLISHMENT","KAFE THE KAM","TORONTO, ON","M4Y 1M7","ISABELLA ST","3 ISABELLA ST,TORONTO, ON,M4Y 1M7",43.6675162,-79.3854216
"22","EATING ESTABLISHMENT","NIHARI INN TORONTO","TORONTO, ON","M5V 1M7","KING ST W","626 KING ST W,TORONTO, ON,M5V 1M7",43.6443326756303,-79.4010938701907
"23","COMMERCIAL PARKING LOT","OMNI PARK","TORONTO, ON","M5V 1M7","KING ST W","650 KING ST W,TORONTO, ON,M5V 1M7",43.6384893,-79.4458958
"24","TEMPORARY SIGN - A-FRAME","CLASSICAL MUSIC CONSERVATORY INC","TORONTO, ON","M6R 2M7","RONCESVALLES AVE","314 RONCESVALLES AVE,TORONTO, ON,M6R 2M7",43.6497573,-79.4505552
"25","SIDEWALK CAFE","CASSIUS ON KING","TORONTO, ON","M5V 1M7","KING ST W","624 KING ST W,TORONTO, ON,M5V 1M7",43.644344,-79.401035
"26","PRIVATE TRANSPORTATION COMPANY","LYFT CANADA","TORONTO, ON","M5L 1A9","BAY ST","199 BAY ST,TORONTO, ON,M5L 1A9",43.6481143,-79.3795387
"27","PRIVATE PARKING ENFORCEMENT AGENCY","SAFEGUARD SECURITY & INVESTIGATION SERVICES","TORONTO, ON","M5G 1E2","EDWARD ST","123 EDWARD ST,TORONTO, ON,M5G 1E2",43.6556316,-79.3870028
"28","PRIVATE PARKING ENFORCEMENT AGENCY","BLACK & MCDONALD LTD","TORONTO, ON","M5S 1B2","GRENVILLE ST","76 GRENVILLE ST,TORONTO, ON,M5S 1B2",43.66173045,-79.3875392296137
"29","PRIVATE PARKING ENFORCEMENT AGENCY","MI SECURITY CORP","TORONTO, ON","M5R 3H8","BATHURST ST","1415 BATHURST ST,TORONTO, ON,M5R 3H8",43.6813576,-79.41743
"30","PRIVATE PARKING ENFORCEMENT AGENCY","UNIVERSITY OF TORONTO","TORONTO, ON","M5S 1A1","KING'S COLLEGE CIR","27 KING'S COLLEGE CIR,TORONTO, ON,M5S 1A1",43.6607231,-79.3959200184599
"31","SHORT TERM RENTAL COMPANY","AIRBNB","TORONTO, ON","M5J 2T3","BAY ST","181 BAY ST,TORONTO, ON,M5J 2T3",43.6465062,-79.3786735
"32","DRIVING SCHOOL OPERATOR (B)","TORONTO CENTRAL DRIVING SCHOOL","TORONTO, ON","M5T 3B3","SPADINA AVE","222 SPADINA AVE,TORONTO, ON,M5T 3B3",43.6509933,-79.3977969
"33","DRIVING SCHOOL OPERATOR (B)","CHUNGHWA DRIVING SCHOOL","TORONTO, ON","M5T 3A5","SPADINA AVE","280 SPADINA AVE,TORONTO, ON,M5T 3A5",43.6526523,-79.3985239
"34","DRIVE-SELF RENTAL OWNER","AVISCAR","TORONTO, ON","M5J 2S1","BAY ST","161 BAY ST,TORONTO, ON,M5J 2S1",43.6469242,-79.3786575
"35","DRIVE-SELF RENTAL OWNER","BUDGETCAR","TORONTO, ON","M5T 1S2","COLLEGE ST","333 COLLEGE ST,TORONTO, ON,M5T 1S2",43.6573081333333,-79.4025997333333
"36","DRIVE-SELF RENTAL OWNER","DOLLAR THRIFTY AUTOMOTIVE GROUP CANADA","TORONTO, ON","M5V 3B7","FRONT ST W","330 FRONT ST W,TORONTO, ON,M5V 3B7",43.6439711,-79.3907954
"37","DRIVE-SELF RENTAL OWNER","ENTERPRISE RENT-A-CAR/ALAMO","TORONTO, ON","M5J 2T3","BAY ST","181 BAY ST,TORONTO, ON,M5J 2T3",43.6465062,-79.3786735
